RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
39,assoc_data,次序(sequence),ASSOC_DATA,c_sequence,,Integer,True,,
41,assoc_data,出處(source),ASSOC_DATA,c_source,,Long,True,TEXT_CODES,c_textid
,,,ASSOC_DATA,c_tertiary_personid,,Long,True,BIOG_MAIN,c_personid
56,assoc_data,作品標題(text_title),ASSOC_DATA,c_text_title,Primary Key,Text,False,,
54,assoc_data,學術主題(topic_code),ASSOC_DATA,c_topic_code,,Integer,True,SCHOLARLYTOPIC_CODES,c_topic_code
,,,ASSOC_TYPES,c_assoc_type_code,Primary Key,Text,False,,
,,,ASSOC_TYPES,c_assoc_type_desc,,Text,False,,
,,,ASSOC_TYPES,c_assoc_type_desc_chn,,Text,False,,
,,,ASSOC_TYPES,c_assoc_type_level,,Integer,False,,
,,,ASSOC_TYPES,c_assoc_type_parent_id,,Text,False,,
,,,ASSOC_TYPES,c_assoc_type_short_desc,,Text,True,,
,,,ASSOC_TYPES,c_assoc_type_sortorder,,Integer,False,,
65,assume_office_codes,assume_code,ASSUME_OFFICE_CODES,c_assume_office_code,Primary,Integer,False,,
67,assume_office_codes,assume_desc,ASSUME_OFFICE_CODES,c_assume_office_desc,,Text,False,,
66,assume_office_codes,assume_chn,ASSUME_OFFICE_CODES,c_assume_office_desc_chn,,Text,False,,
73,biog_addr_codes,desc,BIOG_ADDR_CODES,c_addr_desc,,Text,False,,
74,biog_addr_codes,descchn,BIOG_ADDR_CODES,c_addr_desc_chn,,Text,False,,
75,biog_addr_codes,note,BIOG_ADDR_CODES,c_addr_note,,Text,True,,
72,biog_addr_codes,type,BIOG_ADDR_CODES,c_addr_type,Primary,Integer,False,,
,,,BIOG_ADDR_CODES,c_index_addr_default_rank,,Integer,False,,
,,,BIOG_ADDR_CODES,c_index_addr_rank,,Integer,False,,
78,biog_addr_data,c_addr_id,BIOG_ADDR_DATA,c_addr_id,Primary,Long,False,ADDR_CODES,c_addr_id
79,biog_addr_data,地址類別(c_addr_type),BIOG_ADDR_DATA,c_addr_type,Primary,Integer,False,BIOG_ADDR_CODES,c_addr_type
,,,BIOG_ADDR_DATA,c_created_by,,Text,True,,
,,,BIOG_ADDR_DATA,c_created_date,,Date/Time,True,,
81,biog_addr_data,始年(c_firstyear),BIOG_ADDR_DATA,c_firstyear,,Integer,True,,
97,biog_addr_data,始年(日)c_fy_day,BIOG_ADDR_DATA,c_fy_day,,Integer,True,,
99,biog_addr_data,始年(日干支)c_fy_day_gz,BIOG_ADDR_DATA,c_fy_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
93,biog_addr_data,始年(閏)c_fy_intercalary,BIOG_ADDR_DATA,c_fy_intercalary,,Binary,True,,
