AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
ASSOC_DATA,c_pages,,Text,True,,
ASSOC_DATA,c_notes,,Memo,True,,
ASSOC_DATA,c_assoc_fy_nh_code,,Integer,True,,
ASSOC_DATA,c_assoc_fy_nh_year,,Integer,True,,
ASSOC_DATA,c_assoc_fy_range,,Integer,True,,
ASSOC_DATA,c_assoc_fy_intercalary,,Yes/No,True,,
ASSOC_DATA,c_assoc_fy_month,,Integer,True,,
ASSOC_DATA,c_assoc_fy_day,,Integer,True,,
ASSOC_DATA,c_assoc_fy_day_gz,,Integer,True,,
ASSOC_DATA,c_assoc_ly_nh_code,,Integer,True,,
ASSOC_DATA,c_assoc_ly_nh_year,,Integer,True,,
ASSOC_DATA,c_assoc_ly_range,,Integer,True,,
ASSOC_DATA,c_assoc_ly_intercalary,,Yes/No,True,,
ASSOC_DATA,c_assoc_ly_month,,Integer,True,,
ASSOC_DATA,c_assoc_ly_day,,Integer,True,,
ASSOC_DATA,c_assoc_ly_day_gz,,Integer,True,,
ASSOC_DATA,c_addr_id,,Long,True,,
ASSOC_DATA,c_litgenre_code,,Integer,True,,
ASSOC_DATA,c_occasion_code,,Long,True,,
ASSOC_DATA,c_topic_code,,Long,True,,
ASSOC_DATA,c_inst_code,,Integer,True,,
ASSOC_DATA,c_inst_name_code,,Integer,True,,
ASSOC_DATA,c_text_title,Primary Key,Text,False,,
ASSOC_DATA,c_assoc_claimer_id,,Long,True,,
ASSOC_DATA,c_created_by,,Text,True,,
ASSOC_DATA,c_modified_by,,Text,True,,
ASSOC_DATA,c_created_date,,Date/Time,True,,
ASSOC_DATA,c_modified_date,,Date/Time,True,,
ASSOC_TYPES,c_assoc_type_code,Primary Key,Text,False,,
ASSOC_TYPES,c_assoc_type_desc,,Text,True,,
ASSOC_TYPES,c_assoc_type_desc_chn,,Text,True,,
ASSOC_TYPES,c_assoc_type_parent_id,,Text,True,,
ASSOC_TYPES,c_assoc_type_level,,Integer,True,,
ASSOC_TYPES,c_assoc_type_sortorder,,Integer,True,,
ASSOC_TYPES,c_assoc_type_short_desc,,Text,True,,
